Sitemap,URL,Handle,Last Modified,HTTP Status,Error,Canonical URL,Previous Breadcrumb URL,Category Path
product_sitemap_1.xml,https://www.thegoodguys.com.au/sedko-pty-ltd-melody-tv-cabinet-1600mm-oak-24-melody-1600-oak,sedko-pty-ltd-melody-tv-cabinet-1600mm-oak-24-melody-1600-oak,2026-05-01T07:01:43.796Z,200,,https://www.thegoodguys.com.au/sedko-pty-ltd-melody-tv-cabinet-1600mm-oak-24-melody-1600-oak,/televisions/wall-mounts-and-stands/tv-cabinets-and-stands,/televisions/wall-mounts-and-stands/tv-cabinets-and-stands
product_sitemap_1.xml,https://www.thegoodguys.com.au/wahl-aqua-trim-waterproof-trimmer-1065-0470,wahl-aqua-trim-waterproof-trimmer-1065-0470,2026-05-01T07:01:43.796Z,200,,https://www.thegoodguys.com.au/wahl-aqua-trim-waterproof-trimmer-1065-0470,/health-and-grooming/grooming/beard-and-body-trimmers,/health-and-grooming/grooming/beard-and-body-trimmers
product_sitemap_1.xml,https://www.thegoodguys.com.au/hyperice-venom-2-right-shoulder-22200-001-22,hyperice-venom-2-right-shoulder-22200-001-22,2026-05-01T07:01:43.796Z,200,,https://www.thegoodguys.com.au/hyperice-venom-2-right-shoulder-22200-001-22,/health-and-grooming/health-and-fitness/tens-machines,/health-and-grooming/health-and-fitness/tens-machines
product_sitemap_1.xml,https://www.thegoodguys.com.au/homedics-hot-and-cold-relief-gel-sleeve-elbow-sr-gem700-au,homedics-hot-and-cold-relief-gel-sleeve-elbow-sr-gem700-au,2026-05-01T07:01:43.796Z,200,,https://www.thegoodguys.com.au/homedics-hot-and-cold-relief-gel-sleeve-elbow-sr-gem700-au,/health-and-grooming/personal-care/heating-pads,/health-and-grooming/personal-care/heating-pads
product_sitemap_1.xml,https://www.thegoodguys.com.au/philips-quick-cleaning-pod-qcp1001,philips-quick-cleaning-pod-qcp1001,2026-05-01T07:01:43.796Z,200,,https://www.thegoodguys.com.au/philips-quick-cleaning-pod-qcp1001,/health-and-grooming/grooming/shavers,/health-and-grooming/grooming/shavers
product_sitemap_1.xml,https://www.thegoodguys.com.au/franke-pzx220-39-ta9641-pack-pzx22039ta9641,franke-pzx220-39-ta9641-pack-pzx22039ta9641,2026-05-01T07:01:43.796Z,200,,https://www.thegoodguys.com.au/franke-pzx220-39-ta9641-pack-pzx22039ta9641,/cooking-and-dishwashers/sinks-and-taps/kitchen-sink-and-tap-packages,/cooking-and-dishwashers/sinks-and-taps/kitchen-sink-and-tap-packages
product_sitemap_1.xml,https://www.thegoodguys.com.au/sharp-trim-kit-stainless-steel-for-r321cafst-and-r395est-ebr39st,sharp-trim-kit-stainless-steel-for-r321cafst-and-r395est-ebr39st,2026-05-01T07:01:43.796Z,200,,https://www.thegoodguys.com.au/sharp-trim-kit-stainless-steel-for-r321cafst-and-r395est-ebr39st,/cooking-and-dishwashers/microwaves/microwaves-and-accessories,/cooking-and-dishwashers/microwaves/microwaves-and-accessories
product_sitemap_1.xml,https://www.thegoodguys.com.au/homedics-hot-and-cold-relief-gel-sleeve-knee-sr-gkm800-au,homedics-hot-and-cold-relief-gel-sleeve-knee-sr-gkm800-au,2026-05-01T07:01:43.796Z,200,,https://www.thegoodguys.com.au/homedics-hot-and-cold-relief-gel-sleeve-knee-sr-gkm800-au,/health-and-grooming/personal-care/heating-pads,/health-and-grooming/personal-care/heating-pads
product_sitemap_1.xml,https://www.thegoodguys.com.au/schweigen-90cm-blk-undermount-rangehood-1600m3hr-um1170-9bsp,schweigen-90cm-blk-undermount-rangehood-1600m3hr-um1170-9bsp,2026-05-01T07:01:43.796Z,200,,https://www.thegoodguys.com.au/schweigen-90cm-blk-undermount-rangehood-1600m3hr-um1170-9bsp,/cooking-and-dishwashers/rangehoods/undermount-rangehoods,/cooking-and-dishwashers/rangehoods/undermount-rangehoods
product_sitemap_1.xml,https://www.thegoodguys.com.au/lg-12kg-8kg-combo-washer-dryer-wvc9-1412w,lg-12kg-8kg-combo-washer-dryer-wvc9-1412w,2026-05-01T07:01:43.796Z,404,,N/A,N/A,
