# ----------------------------------------
# GA4 - TGG App + Web RollUp
# Traffic acquisition: Session primary channel group (Default Channel Group)-Tab 3
# 20260130-20260429
# ----------------------------------------

,Session primary channel group (Default Channel Group),Cross-network,Cross-network,Cross-network,Cross-network,Organic Search,Organic Search,Organic Search,Organic Search,Direct,Direct,Direct,Direct,Organic Social,Organic Social,Organic Social,Organic Social,Paid Search,Paid Search,Paid Search,Paid Search,Totals,Totals,Totals,Totals
,Session TGG Channel Group,Paid Search,Paid Search,Paid Search,Paid Search,Organic Search,Organic Search,Organic Search,Organic Search,Direct,Direct,Direct,Direct,Social,Social,Social,Social,Paid Search,Paid Search,Paid Search,Paid Search,Totals,Totals,Totals,Totals
Page path + query string,Date,Sessions,Key events,Session key event rate,Total revenue,Sessions,Key events,Session key event rate,Total revenue,Sessions,Key events,Session key event rate,Total revenue,Sessions,Key events,Session key event rate,Total revenue,Sessions,Key events,Session key event rate,Total revenue,Sessions,Key events,Session key event rate,Total revenue
,,95080,1,0.00001051745898190997,299.000001,66723,2,0.00002997467140266475,221.2,18686,0,0,0,14078,0,0,0,10307,0,0,0,232099,5,0.000021542531419782075,1680.200002,Grand total
/ninja-detect-power-blending-kitchen-system-tb401,20260426,72,0,0,0,196,0,0,0,22,0,0,0,290,0,0,0,4,0,0,0,627,0,0,0
/philips-2000-series-62-litre-xl-airfryer-black-na23000,20260319,15,0,0,0,56,0,0,0,20,0,0,0,5,0,0,0,8,0,0,0,624,0,0,0
/ninja-foodi-max-xxxl-dual-zone-95l-air-fryer-af400,20260214,45,0,0,0,75,0,0,0,21,0,0,0,44,0,0,0,14,0,0,0,614,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260425,53,0,0,0,143,0,0,0,19,0,0,0,296,0,0,0,11,0,0,0,555,0,0,0
/philips-2000-series-62-litre-xl-airfryer-black-na23000,20260321,22,0,0,0,68,0,0,0,20,0,0,0,3,0,0,0,8,0,0,0,531,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260423,61,0,0,0,156,0,0,0,60,0,0,0,170,0,0,0,9,0,0,0,506,0,0,0
/ninja-detect-power-blending-kitchen-system-tb401,20260427,75,0,0,0,153,0,0,0,28,0,0,0,163,0,0,0,18,0,0,0,482,0,0,0
