batch,url,page_type,priority,copy,chars,Flag
Batch 2,https://www.thegoodguys.com.au/hisense/fridges-and-freezers/refrigerators,B2,37,"Hisense refrigerators use multi-airflow cooling and MyZone temperature drawers across French door, top mount and bar fridge formats up to 620L capacity. Shop Hisense at The Good Guys for water dispensers, LED interiors and slim French door designs.",248,fixed:2026-03-19
Batch 2,https://www.thegoodguys.com.au/samsung/fridges-and-freezers,B1,106,"Keep groceries fresh and organised with Samsung fridges and freezers offering spacious storage, precise cooling and smart connectivity. Discover French door, bottom mount and Family Hub options at The Good Guys to match your kitchen.",233,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/samsung/fridges-and-freezers/refrigerators,B2,100,"Samsung refrigerators apply Twin Cooling Plus dual evaporators and SpaceMax insulation across French door, bottom mount and top mount formats. Choose Samsung at The Good Guys for Family Hub touchscreens, All-Around Cooling and water dispensers.",244,fixed:2026-03-19
Batch 2,https://www.thegoodguys.com.au/fisher-and-paykel/fridges-and-freezers/refrigerators,B2,91,"Fisher & Paykel refrigerators use ActiveSmart Foodcare to adapt airflow and temperature to usage patterns across French door, bottom mount and quad door formats. Find F&P at The Good Guys from 390L to 690L with SpacePlus ice-on-door options.",241,fixed:2026-03-19
Batch 2,https://www.thegoodguys.com.au/lg/fridges-and-freezers,B1,84,"LG fridges and freezers use Linear Compressor technology and InstaView Door-in-Door panels across French door, side-by-side, bottom mount and top mount formats. Find LG at The Good Guys with HygieneFRESH+ filtration and ThinQ smart monitoring.",243,fixed:2026-03-19
Batch 2,https://www.thegoodguys.com.au/chiq/fridges-and-freezers/freezers,B2,81,"Store more with CHiQ Freezers from The Good Guys, offering flexible upright and chest designs, fast-freeze cooling and spacious capacities for weekly shops and bulk storage. Save time with adjustable baskets and precise temperature.",232,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/hisense/fridges-and-freezers/freezers,B2,70,Hisense freezers deliver multi-airflow temperature control and fast-freeze functions in chest and upright formats across 100L to 400L capacity. Shop Hisense freezers at The Good Guys for frost-free energy-efficient models with adjustable baskets.,246,fixed:2026-03-19
Batch 2,https://www.thegoodguys.com.au/westinghouse/fridges-and-freezers/refrigerators,B2,66,"Keep food fresher with Westinghouse Refrigerators offering flexible storage, precise temperature control and family-sized capacities. Explore French door, top mount, bottom mount and quad door fridges at The Good Guys to optimise.",230,clone:first5_words_x2 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/fisher-and-paykel/fridges-and-freezers/refrigerators/bottom-mount-fridges,B3,54,"Save time with Fisher & Paykel Bottom Mount Fridges from The Good Guys, keeping fresh items at eye level and frozen food below. Benefit from spacious layouts, flexible shelving, and precise cooling that helps maintain food quality and reduce waste.",248,clone:first5_words_x3
Batch 2,https://www.thegoodguys.com.au/smeg/fridges-and-freezers/refrigerators,B2,53,"Protect your groceries with Smeg refrigerators offering efficient cooling, integrated designs, and space-smart storage. Find bottom mount and bar-style options at The Good Guys to match your kitchen layout while supporting.",223,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/chiq/fridges-and-freezers/refrigerators,B2,87,"CHiQ refrigerators use frost-free multi-airflow cooling and adjustable glass shelving across French door, bottom mount, top mount and bar formats to 520L. Find the CHiQ fridge range at The Good Guys in stainless steel and white finishes.",237,fixed:2026-03-19
